age,sex_male,marriage,income,hb_b_psu,hb_b_pse,hb_b_pbe,hb_b_pba,hb_b_se,hb_a_psu,hb_a_pse,hb_a_pbe,hb_a_pba,hb_a_se,afra1,afra2,be_01,be_02,be_03,be_04,be_05,be_06,be_07,be_08,be_09,be_10,be_11,be_12,be_13,be_14,be_15,be_16,be_17,be_18,be_19,be_20,fnp,ftv,fra,fws,fsm,fmp,confi_gov,confi_hos,confi_wor,confi_media,hmtime,fear_sum,be_sum,risk_sum,selfeff_sum,fear_mean,be_mean,risk_mean,selfeff_mean
2,1,1,4,-2,0,0,-2,0,0,0,0,0,0,3,3,0,2,2,2,0,0,1,1,1,0,1,2,2,2,2,2,2,2,2,0,0,1,0,4,4,4,0,1,3,1,1,6,26,-2,0,3.0,1.2380952380952381,-0.5,0.0
2,1,2,4,2,1,2,2,2,2,2,2,-2,2,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,3,3,3,3,1,3,80,7,5,1.5,3.8095238095238093,1.75,1.0
3,1,1,3,-1,-1,-1,-1,-1,-1,0,1,-1,1,0,1,2,1,1,1,2,2,0,2,2,0,0,1,0,2,0,2,1,1,1,0,4,4,4,4,4,4,0,1,0,2,1,1,21,-3,-3,0.5,1.0,-0.75,-0.6
3,1,2,4,-2,-1,-2,-1,-2,-1,-2,-1,2,-1,0,1,3,2,2,1,2,0,1,0,1,2,2,1,2,1,1,2,2,1,2,1,2,3,2,3,4,3,3,2,2,3,4,1,29,-6,-4,0.5,1.380952380952381,-1.5,-0.8
2,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,1,2,56,0,0,1.0,2.6666666666666665,0.0,0.0
2,1,1,4,2,2,2,2,2,1,1,1,-1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,2,2,2,2,1,4,79,6,6,2.0,3.761904761904762,1.5,1.2
2,0,1,3,1,1,1,1,1,-1,1,1,-1,1,1,1,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0,2,2,2,1,2,76,2,3,1.0,3.619047619047619,0.5,0.6
2,0,1,4,-1,1,0,-2,2,2,2,2,-2,2,3,3,4,4,4,4,4,0,3,4,4,4,4,1,4,4,4,2,1,4,4,4,4,4,4,2,0,4,1,3,3,2,2,6,67,4,3,3.0,3.1904761904761907,1.0,0.6
2,0,1,3,1,0,1,1,1,1,1,1,-1,1,2,3,3,4,3,4,4,0,4,2,4,2,0,4,2,4,4,2,3,4,4,1,1,4,0,4,4,2,0,2,2,2,3,5,58,3,2,2.5,2.761904761904762,0.75,0.4
2,0,1,4,1,-1,2,-2,2,-1,1,0,2,2,3,3,3,4,3,4,4,0,4,3,3,3,4,3,2,3,4,4,3,3,4,3,3,3,0,3,2,3,0,1,2,1,2,6,64,0,7,3.0,3.0476190476190474,0.0,1.4
2,0,3,4,0,2,2,-1,1,1,1,0,-1,1,3,3,4,3,3,3,3,3,3,4,4,4,4,4,3,3,4,3,2,3,4,3,4,1,1,4,1,1,0,1,2,1,2,6,67,4,5,3.0,3.1904761904761907,1.0,1.0
2,0,1,4,2,0,1,2,2,2,2,2,-2,-1,1,3,4,4,3,4,4,0,0,4,4,4,0,1,0,4,4,0,0,4,4,0,0,1,0,2,4,0,0,1,2,1,1,4,48,6,0,2.0,2.2857142857142856,1.5,0.0
2,1,2,5,0,0,1,0,1,0,1,1,1,0,3,3,3,4,2,1,2,1,3,3,3,0,0,4,1,4,4,0,0,4,4,4,4,4,1,4,1,3,0,1,2,3,3,6,47,1,3,3.0,2.238095238095238,0.25,0.6
2,0,1,4,-1,2,0,-1,0,-2,-2,-2,2,2,2,2,4,4,4,4,3,0,3,4,4,4,4,4,3,4,4,4,4,3,0,4,4,3,0,4,0,4,0,2,3,0,1,4,68,-3,6,2.0,3.238095238095238,-0.75,1.2
2,0,1,4,1,0,-2,1,-2,2,-2,-1,1,-1,0,1,3,4,3,4,4,0,4,3,2,1,1,1,1,0,0,4,0,0,4,0,3,3,3,4,4,4,1,1,2,2,1,1,39,1,-4,0.5,1.8571428571428572,0.25,-0.8
2,0,1,2,2,2,2,2,2,2,2,2,-2,2,3,3,4,4,4,4,4,0,3,3,4,3,2,4,3,3,4,4,4,2,4,2,4,4,4,4,4,4,0,1,1,2,3,6,65,8,6,3.0,3.0952380952380953,2.0,1.2
2,0,1,4,1,0,1,0,-2,0,1,2,-2,-2,1,3,4,4,4,4,4,0,4,4,4,1,0,4,3,4,4,0,1,4,4,4,4,3,1,4,3,4,1,1,3,2,1,4,61,2,-5,2.0,2.9047619047619047,0.5,-1.0
2,0,1,4,1,0,2,2,2,1,1,2,-1,0,1,2,3,4,4,4,4,0,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,1,3,3,2,0,1,2,1,2,3,73,3,3,1.5,3.4761904761904763,0.75,0.6
2,0,1,3,-2,0,0,-2,1,-2,1,0,2,1,1,2,4,3,3,4,4,0,4,3,4,3,0,4,2,3,4,4,4,4,3,4,3,3,0,3,4,4,0,3,3,2,1,3,64,-3,4,1.5,3.0476190476190474,-0.75,0.8
2,0,1,5,-1,-1,2,0,0,1,-1,2,0,1,1,2,3,4,4,4,4,0,4,2,1,2,0,2,3,4,4,3,2,4,2,4,1,1,0,4,2,4,3,1,2,0,1,3,56,-2,2,1.5,2.6666666666666665,-0.5,0.4
2,0,2,4,1,1,2,-2,2,0,0,0,-1,1,0,1,4,4,4,4,4,0,2,4,3,3,0,2,1,4,4,4,2,2,4,0,0,2,0,2,2,4,0,3,3,1,2,1,55,2,5,0.5,2.619047619047619,0.5,1.0
2,0,1,3,-1,-1,1,-1,1,0,-1,-1,1,-1,1,1,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,2,2,0,2,0,4,1,3,3,2,1,2,72,-3,1,1.0,3.4285714285714284,-0.75,0.2
