variable,mean,std,min,q25,median,q75,max,nmissing
age,2.362456976436325,0.5778002632827498,1,2.0,2.0,3.0,5,0
sex_male,0.27521842732327245,0.44665384179284895,0,0.0,0.0,1.0,1,0
marriage,1.3747683346571353,0.5660446738819183,1,1.0,1.0,2.0,3,0
income,3.6971141117288853,0.9619393425645019,1,3.0,4.0,4.0,5,0
hb_b_psu,0.2549642573471009,1.13470690331665,-2,-1.0,0.0,1.0,2,0
hb_b_pse,0.14217633042096903,1.0570451497986322,-2,-1.0,0.0,1.0,2,0
hb_b_pbe,0.7430500397140588,1.1242344513902356,-2,0.0,1.0,2.0,2,0
hb_b_pba,-0.13277733651045803,1.1690107083376653,-2,-1.0,0.0,1.0,2,0
hb_b_se,0.6245697643632513,1.0927635212145654,-2,0.0,1.0,1.0,2,0
hb_a_psu,0.08723854911305269,1.1198242398248772,-2,-1.0,0.0,1.0,2,0
hb_a_pse,0.3537198835054276,1.149770754744027,-2,-1.0,1.0,1.0,2,0
hb_a_pbe,0.5570558644426794,1.0477737631070594,-2,0.0,1.0,1.0,2,0
hb_a_pba,0.12456976436325126,1.1754460802544786,-2,-1.0,0.0,1.0,2,0
hb_a_se,0.4379136881122584,1.0972433665289805,-2,0.0,1.0,1.0,2,0
afra1,1.6131850675139,1.0361994770247496,0,1.0,2.0,3.0,3,0
afra2,2.3823140058247287,0.8994074833768438,0,2.0,3.0,3.0,3,0
be_01,3.2576118612655547,1.0450394330610775,0,3.0,4.0,4.0,4,0
be_02,3.6628276409849088,0.6634149704040833,0,3.0,4.0,4.0,4,0
be_03,3.0578501456182154,0.9692559524359707,0,2.0,3.0,4.0,4,0
be_04,3.3696055070161504,0.9266821257950826,0,3.0,4.0,4.0,4,0
be_05,3.5232989144823934,0.9192470533619728,0,3.0,4.0,4.0,4,0
be_06,0.5348159915276675,1.0988085813528599,0,0.0,0.0,0.0,4,0
be_07,3.441090812814403,0.8975218844831749,0,3.0,4.0,4.0,4,0
be_08,3.3921101403230076,0.9044493168278405,0,3.0,4.0,4.0,4,0
be_09,3.3498808578236696,0.950535181520579,0,3.0,4.0,4.0,4,0
be_10,2.887741593857559,1.3494831758845292,0,2.0,3.0,4.0,4,0
be_11,1.6044479745830025,1.5081793213536203,0,0.0,1.0,3.0,4,0
be_12,3.1972464919248083,1.083566613666836,0,3.0,4.0,4.0,4,0
be_13,2.5810166799046863,1.233438830287157,0,2.0,3.0,4.0,4,0
be_14,3.3710616891713,0.9811485449538412,0,3.0,4.0,4.0,4,0
be_15,3.533359809372518,1.0254340888487343,0,4.0,4.0,4.0,4,0
be_16,2.8388933015620865,1.0679876078484314,0,2.0,3.0,4.0,4,0
be_17,1.8461742123378342,1.3417322843757344,0,1.0,2.0,3.0,4,0
be_18,3.233121525019857,1.0704356665136778,0,3.0,4.0,4.0,4,0
be_19,3.207042626423087,1.1923553516292953,0,3.0,4.0,4.0,4,0
be_20,2.9951019327508606,1.3462423379953243,0,2.0,4.0,4.0,4,0
fnp,1.8459094519459889,1.5572672344578835,0,0.0,2.0,3.0,4,0
ftv,2.6975112523166533,1.2988406572905906,0,2.0,3.0,4.0,4,0
fra,1.2357691289383108,1.3947517134945169,0,0.0,1.0,3.0,4,0
fws,3.069102462271644,1.0884325237502521,0,3.0,3.0,4.0,4,0
fsm,2.1971141117288853,1.4562555197164337,0,1.0,2.0,3.0,4,0
fmp,2.094916600476569,1.4503086956865765,0,1.0,2.0,3.0,4,0
confi_gov,0.7050569234842468,0.7811552164579781,0,0.0,1.0,1.0,3,0
confi_hos,1.376621657400053,0.8029397351505951,0,1.0,1.0,2.0,3,0
confi_wor,1.9062748212867355,0.8073902801047665,0,1.0,2.0,2.0,3,0
confi_media,1.2987821021975112,0.8816238039106591,0,1.0,1.0,2.0,3,0
hmtime,1.5573206248345248,0.7791877897763895,1,1.0,1.0,2.0,4,0
fear_sum,3.9954990733386286,1.753581833785204,0,3.0,4.0,5.0,6,0
be_sum,58.88429970876357,11.441635047953707,0,54.0,61.0,67.0,80,0
risk_sum,0.8380990203865502,3.296885681497997,-8,-1.0,1.0,3.0,8,0
selfeff_sum,1.9477098226105374,3.0437114160874237,-8,0.0,2.0,4.0,8,0
fear_mean,1.9977495366693143,0.876790916892602,0.0,1.5,2.0,2.5,3.0,0
be_mean,2.804014271845884,0.5448397641882717,0.0,2.5714285714285716,2.9047619047619047,3.1904761904761907,3.8095238095238093,0
risk_mean,0.20952475509663754,0.8242214203744993,-2.0,-0.25,0.25,0.75,2.0,0
selfeff_mean,0.3895419645221075,0.6087422832174847,-1.6,0.0,0.4,0.8,1.6,0
